نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
مشير112,مشاركت شهرداري شيراز-3ماهه18%,2,20000,20000000000,1000000,1000000,1000000,0,0,1000000,0,0,1000000,1000000
ضملي3005,اختيارخ فملي-16000-1400/03/02,2,6,1800000,333,300,300,-33.00,-9.91,300,-33.00,-9.91,300,300
پست0008پ04,پسته فندقي32-30سبزدانه0008(پ),2,25,34750000,1329231,1390000,1390000,"60,769.00",4.57,1390000,"60,769.00",4.57,1390000,1390000
عيار2,صندوق س. پشتوانه طلاي مفيد,2,20000,20000,26025,1,1,"-26,024.00",-100.00,1,"-26,024.00",-100.00,1,1
اخزا720,اسنادخزانه-م20بودجه97-000324,2,18,17196392,951056,955799,955000,"3,944.00",0.41,955355,"4,299.00",0.45,955000,955799
اراد584,مرابحه عام دولت5-ش.خ 0110,2,10602000,9.90914E+12,972287,934696,934600,"-37,687.00",-3.88,934648,"-37,639.00",-3.87,934600,934696
صخابر102,صكوك اجاره مخابرات-3 ماهه 16%,2,11,10835946,982769,985086,985086,"2,317.00",0.24,985086,"2,317.00",0.24,985086,985086
قشهد,شهد,2,3300,66264000,20480,20080,20080,-400.00,-1.95,20480,0,0,20080,20080
اراد524,مرابحه عام دولت5-ش.خ 0108,2,12666000,1.19085E+13,1000000,940241,940150,"-59,850.00",-5.99,940195,"-59,805.00",-5.98,940150,940241
بگيلان2,توسعه مسير برق گيلان,2,36254010,7.62962E+11,21006,21000,21062,56.00,0.27,21045,39.00,0.19,21000,21062
ضفار3001,اختيارخ فارس-9000-1400/03/05,2,4,3778000,937,667,1222,285.00,30.42,944,7.00,0.75,667,1222
اراد544,مرابحه عام دولت5-ش.خ 0109,2,14000000,1.32531E+13,1015000,954822,938473,"-76,527.00",-7.54,946647,"-68,353.00",-6.73,938473,954822
