نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
ضفلا3003,اختيارخ فولاد-10000-1400/03/19,2,11,37399000,3698,3399,3400,-298.00,-8.06,3400,-298.00,-8.06,3399,3400
ونچر,ص.ج.فيروزه10%تاديه,2,2000,245022000,125011,120011,125011,0,0,122511,"-2,500.00",-2.00,120011,125011
وسگيلا,شركت س استان گيلان,2,23000,17710000,780,770,770,-10.00,-1.28,780,0,0,770,770
زعف0008پ08,زعفران0008نگين روستا(پ),2,200,23525000,114574,118000,117500,"2,926.00",2.55,117625,"3,051.00",2.66,117500,118000
وغدير2,سرمايه‌گذاري‌غدير(هلدينگ‌,2,391599378,4.56213E+12,11830,11650,11650,-180.00,-1.52,11650,-180.00,-1.52,11650,11650
لازما,كارخانه هاي صنعتي آزمايش,2,1649,56404045,34903,34205,34205,-698.00,-2.00,34901,-2.00,-0.01,34205,34205
پا ر 60,بار پايه روز 60,2,8000,2760000,385,345,345,-40.00,-10.39,345,-40.00,-10.39,345,345
بفجر2,فجر انرژي خليج فارس,2,1800000,40770000000,22650,22650,22650,0,0,22650,0,0,22650,22650
وسيزد,شركت س استان يزد,2,9348,11778480,1280,1260,1260,-20.00,-1.56,1280,0,0,1260,1260
سدبير,س. تدبيرگران فارس وخوزستان,2,117,10432890,90989,89170,89170,"-1,819.00",-2.00,90989,0,0,89170,89170
ضمخا7069,اختيارخ اخابر-18000-1400/07/28,2,2,2067000,1580,667,1400,-180.00,-11.39,1033,-547.00,-34.62,667,1400
اراد214,مرابحه عام دولت2ش.خ صادرات0212,2,18600000,1.74142E+13,1000000,948532,923959,"-76,041.00",-7.60,936245,"-63,755.00",-6.38,923959,948532
اراد424,مرابحه عام دولت4-ش.خ 0106,2,10000000,9.56414E+12,1056250,964144,948683,"-107,567.00",-10.18,956413,"-99,837.00",-9.45,948683,964144
فولاد2,فولاد مباركه اصفهان,2,46700000,5.87497E+11,12590,12590,12510,-80.00,-0.64,12580,-10.00,-0.08,12510,12590
وصندوق2,سرمايه‌گذاري‌صندوق‌بازنشستگي‌,2,11638700,1.52053E+11,13150,13100,13000,-150.00,-1.14,13064,-86.00,-0.65,13000,13100
ضمخا7066,اختيارخ اخابر-12000-1400/07/28,2,2,3110000,1548,1555,1555,7.00,0.45,1555,7.00,0.45,1555,1555
شخارك2,پتروشيمي‌ خارك‌,1,4000000,1.72E+11,43190,43000,43000,-190.00,-0.44,43000,-190.00,-0.44,43000,43000
ضصاد3007,اختيارخ وبصادر-5000-1400/03/12,1,10,110000,1,11,11,10.00,"1,000.00",11,10.00,"1,000.00",11,11
وسكرشا,س.سهام عدالت استان كرمانشاه,1,4011,4973640,1260,1240,1240,-20.00,-1.59,1260,0,0,1240,1240
وسيلام,شركت س استان ايلام,1,4114,5019080,1240,1220,1220,-20.00,-1.61,1240,0,0,1220,1220
ضصاد3006,اختيارخ وبصادر-4500-1400/03/12,1,100,1100000,1,11,11,10.00,"1,000.00",11,10.00,"1,000.00",11,11
تملي708,تسهيلات مسكن ب. ملي-آبان97,1,10,5756830,605982,575683,575683,"-30,299.00",-5.00,575683,"-30,299.00",-5.00,575683,575683
ضملت3006,اختيارخ وبملت-7000-1400/03/19,1,10,550000,100,55,55,-45.00,-45.00,55,-45.00,-45.00,55,55
رايان106,مشاركت رايان سايپا-3ماهه16%,1,7335,7011042390,965392,955834,955834,"-9,558.00",-0.99,955834,"-9,558.00",-0.99,955834,955834
ضجار2003,اختيارخ وتجارت-3000-1400/02/22,1,100,15000000,215,150,150,-65.00,-30.23,150,-65.00,-30.23,150,150
اخزا7162,اسنادخزانه-م16بودجه97-000407,1,116322,1.1011E+11,943028,946600,946600,"3,572.00",0.38,946600,"3,572.00",0.38,946600,946600
ثعتما,س. ساختماني اعتماد گستر,1,100,6642900,67784,66429,66429,"-1,355.00",-2.00,67784,0,0,66429,66429
ضصاد3002,اختيارخ وبصادر-2500-1400/03/12,1,7,2023000,247,289,289,42.00,17.00,289,42.00,17.00,289,289
ضملت3004,اختيارخ وبملت-5000-1400/03/19,1,10,1000000,94,100,100,6.00,6.38,100,6.00,6.38,100,100
ضچاد2004,اختيارخ كچاد-20000-1400/02/05,1,9,17991000,1350,1999,1999,649.00,48.07,1999,649.00,48.07,1999,1999
پافروردي,بار پايه فروردين,1,15000,5175000,340,345,345,5.00,1.47,345,5.00,1.47,345,345
اخزا8122,اسنادخزانه-م12بودجه98-001111,1,112808,96128321928,844783,852141,852141,"7,358.00",0.87,852141,"7,358.00",0.87,852141,852141
اراد49,مرابحه عام دولت4-ش.خ 0206,1,20000,19800000000,990000,990000,990000,0,0,990000,0,0,990000,990000
ضملت3005,اختيارخ وبملت-6000-1400/03/19,1,1,99000,111,99,99,-12.00,-10.81,99,-12.00,-10.81,99,99
اراد45,مرابحه عام دولت4-ش.خ 0107,1,5000,4890000000,998000,978000,978000,"-20,000.00",-2.00,978000,"-20,000.00",-2.00,978000,978000
وسخراش,شركت س استان خراسان شمالي,1,5000,6750000,1370,1350,1350,-20.00,-1.46,1370,0,0,1350,1350
صگل1411,ص اجاره گل گهر 1411-3 ماهه 17%,1,16,15440000,955020,965000,965000,"9,980.00",1.05,965000,"9,980.00",1.05,965000,965000
پست0008پ09,پسته بادامي30-28مه ولات0008(پ),1,5,7143425,1360653,1428685,1428685,"68,032.00",5.00,1428685,"68,032.00",5.00,1428685,1428685
كگل2,معدني و صنعتي گل گهر,1,9714008,1.80486E+11,18510,18580,18580,70.00,0.38,18580,70.00,0.38,18580,18580
مبين011,اجاره اعتماد مبين لوتوس010710,1,8,7688000,961000,961000,961000,0,0,961000,0,0,961000,961000
اخزا8062,اسنادخزانه-م6بودجه98-000519,1,103770,96184413000,921935,926900,926900,"4,965.00",0.54,926900,"4,965.00",0.54,926900,926900
پا ر 57,بار پايه روز 57,1,20000,6900000,380,345,345,-35.00,-9.21,345,-35.00,-9.21,345,345
ضجار2007,اختيارخ وتجارت-5000-1400/02/22,1,10,220000,1382,22,22,"-1,360.00",-98.41,22,"-1,360.00",-98.41,22,22
وسفارس,شركت س استان فارس,1,4981,5030810,1030,1010,1010,-20.00,-1.94,1030,0,0,1010,1010
وسيستا,شركت س استان سيستان وبلوچستان,1,11587,8806120,770,760,760,-10.00,-1.30,770,0,0,760,760
ضخوز2012,اختيارخ فخوز-10000-1400/02/15,1,1,5400000,4800,5400,5400,600.00,12.50,5400,600.00,12.50,5400,5400
ضچاد2000,اختيارخ كچاد-12000-1400/02/05,1,3,31500000,8500,10500,10500,"2,000.00",23.53,10500,"2,000.00",23.53,10500,10500
ميدكو2,هلدينگ صنايع  معدني خاورميانه,1,20000000,6.0474E+11,30237,30237,30237,0,0,30237,0,0,30237,30237
ولراز,ليزينگ رازي,1,105,5658345,56134,53889,53889,"-2,245.00",-4.00,56133,-1.00,0,53889,53889
ضفلا3005,اختيارخ فولاد-14000-1400/03/19,1,1,800000,796,800,800,4.00,0.50,800,4.00,0.50,800,800
فسديد,لوله‌وتجهيزات‌ سديد - ورشكسته,1,1299,149405784,117363,115016,115016,"-2,347.00",-2.00,117291,-72.00,-0.06,115016,115016
پارسان2,گسترش نفت و گاز پارسيان,1,10000000,1.92E+11,19120,19200,19200,80.00,0.42,19200,80.00,0.42,19200,19200
اراد22,مرابحه عام دولت2-ش.خ لوتوس0212,1,5000,4950000000,980000,990000,990000,"10,000.00",1.02,990000,"10,000.00",1.02,990000,990000
وسمركز,شركت س استان مركزي,1,4000,5520000,1400,1380,1380,-20.00,-1.43,1400,0,0,1380,1380
وزمين,بانك ايران زمين,1,500,6879000,14038,13758,13758,-280.00,-1.99,14038,0,0,13758,13758
كيا,كيا الكترود شرق,1,648,5075784,7833,7833,7833,0,0,7833,0,0,7833,7833
وحافظ,بيمه حافظ,1,77,5131049,67996,66637,66637,"-1,359.00",-2.00,67995,-1.00,0,66637,66637
ومهان2,گروه توسعه مالي مهر آيندگان,1,10000000,1.279E+11,12790,12790,12790,0,0,12790,0,0,12790,12790
ضصاد3008,اختيارخ وبصادر-6000-1400/03/12,1,10,110000,1,11,11,10.00,"1,000.00",11,10.00,"1,000.00",11,11
صايپا112,صكوك مرابحه سايپا112-3ماهه 16%,1,10000,9833710000,983371,983371,983371,0,0,983371,0,0,983371,983371
ضفلا3002,اختيارخ فولاد-9000-1400/03/19,1,10,40000000,4300,4000,4000,-300.00,-6.98,4000,-300.00,-6.98,4000,4000
زعف0008پ15,زعفران0008پوشالمعمول طلاسرخ(پ),1,100,8150000,83236,81500,81500,"-1,736.00",-2.09,81500,"-1,736.00",-2.09,81500,81500
ارمغان2,ص سرمايه گذاري ارمغان ايرانيان,1,29904306,29904306,10033,1,1,"-10,032.00",-99.99,1,"-10,032.00",-99.99,1,1
سپ2,پرداخت الكترونيك سامان كيش,1,49000000,8.33E+11,17100,17000,17000,-100.00,-0.58,17000,-100.00,-0.58,17000,17000
ضپاس2000,اختيارخ وپارس-2000-1400/02/29,1,1,933000,999,933,933,-66.00,-6.61,933,-66.00,-6.61,933,933
نبروج,نساجي بروجرد,1,5000,31250000,5810,6250,6250,440.00,7.57,5811,1.00,0.02,6250,6250
نكالا2,نهادهاي مالي بورس كالاي ايران,1,10999997,3.8214E+11,34740,34740,34740,0,0,34740,0,0,34740,34740
فنوال2,نورد آلومينيوم‌,1,18852354,4.74702E+11,25180,25180,25180,0,0,25180,0,0,25180,25180
رطب0002پ02,رطب مضافتي0002اتحاديه كرمان(پ),1,115,18918075,166858,164505,164505,"-2,353.00",-1.41,164505,"-2,353.00",-1.41,164505,164505
بزاگرسح,ح . نيروگاه زاگرس كوثر,1,1100,6732000,6210,6120,6120,-90.00,-1.45,6120,-90.00,-1.45,6120,6120
وسكرد,شركت س استان كردستان,1,7000,5110000,740,730,730,-10.00,-1.35,740,0,0,730,730
ضجار2008,اختيارخ وتجارت-6000-1400/02/22,1,10,220000,10,22,22,12.00,120.00,22,12.00,120.00,22,22
وسزنجان,شركت س استان زنجان,1,4000,5600000,1420,1400,1400,-20.00,-1.41,1420,0,0,1400,1400
شستا9942,اجاره تامين اجتماعي-نوين991226,1,669412,6.69412E+11,1000000,1000000,1000000,0,0,1000000,0,0,1000000,1000000
ضغدر3002,اختيارخ وغدير-9000-1400/03/26,1,50,185000000,3800,3700,3700,-100.00,-2.63,3700,-100.00,-2.63,3700,3700
ضملت3007,اختيارخ وبملت-8000-1400/03/19,1,10,330000,1,33,33,32.00,"3,200.00",33,32.00,"3,200.00",33,33
صبا1401,اجاره مهندسي صبا نفت14010225,1,280,280000000,988550,1000000,1000000,"11,450.00",1.16,1000000,"11,450.00",1.16,1000000,1000000
ضمخا7070,اختيارخ اخابر-20000-1400/07/28,1,5,4500000,666,900,900,234.00,35.14,900,234.00,35.14,900,900
ضملي3002,اختيارخ فملي-10000-1400/03/02,1,20,60000000,2783,3000,3000,217.00,7.80,3000,217.00,7.80,3000,3000
شاراك2,پتروشيمي شازند,1,3000000,72960000000,24300,24320,24320,20.00,0.08,24320,20.00,0.08,24320,24320
اخزا8072,اسنادخزانه-م7بودجه98-000719,1,118571,1.06536E+11,892438,898500,898500,"6,062.00",0.68,898500,"6,062.00",0.68,898500,898500
ضسپا3001,اختيارخ خساپا-1600-1400/03/26,1,1,666000,850,666,666,-184.00,-21.65,666,-184.00,-21.65,666,666
زعف0008پ19,زعفران0008نگين تروند قاينات(پ),1,100,11897000,116496,118970,118970,"2,474.00",2.12,118970,"2,474.00",2.12,118970,118970
قجام,فرآوردههاي غذايي وقندتربت‌جام‌,1,540,8805780,16639,16307,16307,-332.00,-2.00,16639,0,0,16307,16307
پارس2,پتروشيمي پارس,1,800000,1.1E+11,135310,137500,137500,"2,190.00",1.62,137500,"2,190.00",1.62,137500,137500
رطب0002پ01,رطب مضافتي0002افشارتعاون بم(پ),1,25,4545450,184422,181818,181818,"-2,604.00",-1.41,181818,"-2,604.00",-1.41,181818,181818
تملي804,تسهيلات مسكن ب. ملي-تير98,1,7,5744718,863867,820674,820674,"-43,193.00",-5.00,820674,"-43,193.00",-5.00,820674,820674
شلرد02,كود شيميايي اوره لردگان,1,182,184154880,993000,1011840,1011840,"18,840.00",1.90,1011840,"18,840.00",1.90,1011840,1011840
ضپيك2011,اختيارخ تاپيكو-14000-00/02/19,1,10,9500000,666,950,950,284.00,42.64,950,284.00,42.64,950,950
ضپنا2000,اختيارخ رمپنا-10000-1400/02/12,1,1,7200000,7777,7200,7200,-577.00,-7.42,7200,-577.00,-7.42,7200,7200
ركيش,كارت اعتباري ايران كيش,1,2000,51780000,26410,25890,25890,-520.00,-1.97,26410,0,0,25890,25890
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
